window,combo_name,trigger_rule,horizon,proof_unit_type,sample_count,risk_exit_count,quarantine_count,hold_p10,hold_p5,hold_p1,exit_p10,exit_p5,exit_p1,quarantine_avoided_loss_count,missed_profit_rate,false_exit_rate,tail_improve_p10,tail_improve_p5,tail_improve_p1,fee_proxy_vs_exit_cost,worst_pool_contribution,worst_event_contribution,verdict
recent_48h,price_plus_exit_depth,hybrid,15m,intent_window,357,0,0,0.0014385390418141242,0.0011717908695203505,1.5844201030290606e-05,0.0014385390418141242,0.0011717908695203505,1.5844201030290606e-05,0,0.0,0.0,0.0,0.0,0.0,-1.259666056442013,0.0,,WEAK
recent_48h,price_plus_exit_depth,hybrid,15m,pool_window,384,0,0,-0.0016006412936204004,-0.3293648126892759,-1.2735473129686488,-0.0016006412936204004,-0.3293648126892759,-1.2735473129686488,0,0.0026041666666666665,0.0026041666666666665,0.0,0.0,0.0,-1.2955630918482204,0.47957447688530086,0.0,WEAK
recent_48h,price_plus_exit_depth,hybrid,1h,intent_window,357,0,0,0.00416996692430871,0.0027619356751813484,0.0021964178046829375,0.0,0.0,0.0,0,0.011204481792717087,0.011204481792717087,-0.00416996692430871,-0.0027619356751813484,-0.0021964178046829375,-1.2530355800968647,0.0,0.0,WEAK
recent_48h,price_plus_exit_depth,hybrid,1h,pool_window,384,0,6,-0.40842082211722575,-0.7880556211205895,-1.801486357708448,-0.27980738705815617,-0.7880556211205895,-1.801486357708448,1,0.028645833333333332,0.028645833333333332,0.12861343505906958,0.0,0.0,-1.2866852303960443,0.3540487456102852,1.0,WEAK
recent_48h,price_plus_exit_depth,hybrid,2h,intent_window,357,0,0,0.008950015282351842,0.005539984358549077,0.00416996692430871,0.0,0.0,0.0,0,0.01680672268907563,0.01680672268907563,-0.008950015282351842,-0.005539984358549077,-0.00416996692430871,-1.2441949449700003,0.0,0.0,WEAK
recent_48h,price_plus_exit_depth,hybrid,2h,pool_window,384,0,17,-0.6786761254600302,-0.9440569379566691,-1.7672828269845282,-0.5506940611528042,-0.889117462937077,-1.7672828269845282,1,0.052083333333333336,0.052083333333333336,0.12798206430722603,0.054939475019592066,0.0,-1.2635838706552152,0.3019622200598469,1.0,PROMISING
recent_48h,price_plus_exit_depth,hybrid,30m,intent_window,357,0,0,0.002393530659020371,0.0014385390418141242,0.0012861906567849246,0.0,0.0,0.0,0,0.0056022408963585435,0.0056022408963585435,-0.002393530659020371,-0.0014385390418141242,-0.0012861906567849246,-1.2574558976602968,0.0,0.0,WEAK
recent_48h,price_plus_exit_depth,hybrid,30m,pool_window,384,0,3,-0.08533931332381811,-0.5565147054119176,-1.402549826640024,-0.05176834570227952,-0.5103715294385126,-1.402549826640024,1,0.013020833333333334,0.013020833333333334,0.03357096762153859,0.046143175973405004,0.0,-1.2920644708045046,0.3906656394134955,1.0,PROMISING
recent_72h,price_plus_exit_depth,hybrid,15m,intent_window,381,0,0,-0.011791022684917607,-0.013167260547717776,-0.01682085353914431,-0.011791022684917607,-0.013167260547717776,-0.01682085353914431,0,0.0,0.0,0.0,0.0,0.0,-1.4432902480391578,0.1423983269160658,,WEAK
recent_72h,price_plus_exit_depth,hybrid,15m,pool_window,384,0,0,-0.05763642029926805,-0.513709483485225,-11.190912919935645,-0.05763642029926805,-0.513709483485225,-11.190912919935645,0,0.0,0.0,0.0,0.0,0.0,-1.581278495515889,0.8104830159414383,,WEAK
recent_72h,price_plus_exit_depth,hybrid,1h,intent_window,381,0,0,-0.01127048055815294,-0.01224324932456966,-0.015595249104791264,-0.01127048055815294,-0.01224324932456966,-0.015595249104791264,0,0.0,0.0,0.0,0.0,0.0,-1.6768347584163381,0.10430176441241201,,WEAK
recent_72h,price_plus_exit_depth,hybrid,1h,pool_window,384,0,0,-0.29511448749555924,-2.4456448737907954,-11.17723729385538,-0.29511448749555924,-2.4456448737907954,-11.17723729385538,0,0.0,0.0,0.0,0.0,0.0,-1.5421152731355177,0.7913970324746247,,WEAK
recent_72h,price_plus_exit_depth,hybrid,2h,intent_window,381,0,0,-0.010643634614012853,-0.012293267905491234,-0.015595249104791264,-0.010643634614012853,-0.012293267905491234,-0.015595249104791264,0,0.0,0.0,0.0,0.0,0.0,-1.6397528519241016,0.08878867251776512,,WEAK
recent_72h,price_plus_exit_depth,hybrid,2h,pool_window,384,0,0,-0.506520668752117,-2.779001423318402,-11.439118638933422,-0.506520668752117,-2.779001423318402,-11.439118638933422,0,0.0,0.0,0.0,0.0,0.0,-1.4781837221660605,0.7785611626496723,,WEAK
recent_72h,price_plus_exit_depth,hybrid,30m,intent_window,381,0,0,-0.011215457792388861,-0.011791022684917607,-0.013167260547717776,-0.011215457792388861,-0.011791022684917607,-0.013167260547717776,0,0.0,0.0,0.0,0.0,0.0,-1.56186624250534,0.12084359842380366,,WEAK
recent_72h,price_plus_exit_depth,hybrid,30m,pool_window,384,0,0,-0.19400430373186153,-1.2985536605178825,-11.196171517226217,-0.19400430373186153,-1.2985536605178825,-11.196171517226217,0,0.0,0.0,0.0,0.0,0.0,-1.5653620652819145,0.840949818736215,,WEAK
recent_168h,price_plus_exit_depth,hybrid,15m,intent_window,1352,0,0,-0.017650107782074542,-0.027453406510744568,-2.5543076901201403,-0.017650107782074542,-0.027453406510744568,-2.5543076901201403,0,0.0,0.0,0.0,0.0,0.0,-1.4432902480391578,0.5798521056623572,,WEAK
recent_168h,price_plus_exit_depth,hybrid,15m,pool_window,1822,0,1,-0.01676422797585305,-0.4550626817902124,-2.4641239501903813,-0.01591348329244936,-0.4350862761699076,-2.4641239501903813,1,0.0038419319429198683,0.0038419319429198683,0.0008507446834036918,0.019976405620304838,0.0,-1.1136827708812023,0.43859034507599015,0.4621649118114866,PROMISING
recent_168h,price_plus_exit_depth,hybrid,1h,intent_window,1352,0,0,-0.01954181599786864,-2.483184231619944,-2.6029376769269135,-0.016924062840033116,-1.8863988495105417,-2.6029376769269135,0,0.0022189349112426036,0.0022189349112426036,0.002617753157835523,0.5967853821094025,0.0,-1.4355097245650086,0.47980863664127005,0.0,PROMISING
recent_168h,price_plus_exit_depth,hybrid,1h,pool_window,1822,0,11,-0.2876195492331995,-1.0842217114837083,-4.3988834810120885,-0.2528169313014823,-1.0537039826012442,-4.3988834810120885,1,0.019209659714599342,0.019209659714599342,0.034802617931717184,0.030517728882464068,0.0,-1.0991915128249308,0.4902593357457174,1.0,PROMISING
recent_168h,price_plus_exit_depth,hybrid,2h,intent_window,1352,0,0,-0.021278177443804225,-1.8863988495105417,-2.545426598351895,-0.018626734667194,-1.8863988495105417,-2.545426598351895,0,0.0036982248520710057,0.0036982248520710057,0.0026514427766102244,0.0,0.0,-1.425135693266143,0.588409969845416,0.0,WEAK
recent_168h,price_plus_exit_depth,hybrid,2h,pool_window,1822,0,19,-0.6409071859143017,-1.4900581167929974,-4.691999224720435,-0.5975834918287573,-1.2517739871174853,-4.691999224720435,1,0.03951701427003293,0.03951701427003293,0.043323694085544484,0.23828412967551205,0.0,-1.0842525996147059,0.4718320818682853,1.0,PROMISING
recent_168h,price_plus_exit_depth,hybrid,30m,intent_window,1352,0,0,-0.017138191714124673,-2.506342325245683,-2.5543076901201403,-0.01682085353914431,-0.025203394062899065,-2.5543076901201403,0,0.0007396449704142012,0.0007396449704142012,0.0003173381749803639,2.481138931182784,0.0,-1.4406967402144413,0.5099952165346453,0.0,PROMISING
recent_168h,price_plus_exit_depth,hybrid,30m,pool_window,1822,0,4,-0.11125046939591521,-0.8025356561110383,-2.8146239772407973,-0.09920277830471375,-0.8000885374580311,-2.8146239772407973,1,0.010428100987925357,0.010428100987925357,0.012047691091201462,0.0024471186530071742,0.0,-1.1070311802033173,0.4405862354213744,1.0,PROMISING
recent_24h,volume_plus_tvl,exit,15m,intent_window,388,0,0,0.0005499732427693971,0.0002556736978220897,0.0002556736978220897,0.0005499732427693971,0.0002556736978220897,0.0002556736978220897,0,0.0,0.0,0.0,0.0,0.0,-3.3127819068978934,0.0,,WEAK
recent_24h,volume_plus_tvl,exit,15m,pool_window,388,0,0,-0.00286126082657879,-0.0216923091204912,-0.6008644090200929,-0.00286126082657879,-0.0216923091204912,-0.6008644090200929,0,0.0,0.0,0.0,0.0,0.0,-1.1654259748873632,0.5389629270982875,,WEAK
recent_24h,volume_plus_tvl,exit,1h,intent_window,388,0,0,0.0017784702051955037,0.0011032970631674743,0.0011032970631674743,0.0017784702051955037,0.0011032970631674743,0.0011032970631674743,0,0.0,0.0,0.0,0.0,0.0,-3.2399483754243183,0.0,,WEAK
recent_24h,volume_plus_tvl,exit,1h,pool_window,388,0,0,-0.04153192652399556,-0.48099291702747166,-2.656471289685926,-0.04153192652399556,-0.48099291702747166,-2.656471289685926,0,0.0,0.0,0.0,0.0,0.0,-1.1348196811089721,0.6136070680554553,,WEAK
recent_24h,volume_plus_tvl,exit,2h,intent_window,388,0,0,0.004022389305745833,0.003620198788695461,0.003620198788695461,0.004022389305745833,0.003620198788695461,0.003620198788695461,0,0.0,0.0,0.0,0.0,0.0,-3.1428370001262187,0.0,,WEAK
recent_24h,volume_plus_tvl,exit,2h,pool_window,388,0,0,-0.17323414748712623,-0.5558026124637273,-2.636068429303282,-0.17323414748712623,-0.5558026124637273,-2.636068429303282,0,0.0,0.0,0.0,0.0,0.0,-1.0940286679189506,0.7228647206993037,,WEAK
recent_24h,volume_plus_tvl,exit,30m,intent_window,388,0,0,0.0007773597600788662,0.0005499732427693971,0.0005499732427693971,0.0007773597600788662,0.0005499732427693971,0.0005499732427693971,0,0.0,0.0,0.0,0.0,0.0,-3.2885040630733684,0.0,,WEAK
recent_24h,volume_plus_tvl,exit,30m,pool_window,388,0,0,-0.012768857469854449,-0.21244290210941588,-2.6222401117880234,-0.012768857469854449,-0.21244290210941588,-2.6222401117880234,0,0.0,0.0,0.0,0.0,0.0,-1.155231748860106,0.5874087258520624,,WEAK
recent_48h,volume_plus_tvl,exit,15m,intent_window,357,0,0,0.0014385390418141242,0.0011717908695203505,1.5844201030290606e-05,0.0014385390418141242,0.0011717908695203505,1.5844201030290606e-05,0,0.0,0.0,0.0,0.0,0.0,-1.259666056442013,0.0,,WEAK
recent_48h,volume_plus_tvl,exit,15m,pool_window,384,1,0,-0.0016006412936204004,-0.3293648126892759,-1.2735473129686488,-0.0016006412936204004,-0.3293648126892759,-1.2735473129686488,0,0.0,0.0,0.0,0.0,0.0,-1.2955630918482204,0.47957447688530086,0.0,WEAK
recent_48h,volume_plus_tvl,exit,1h,intent_window,357,16,0,0.00416996692430871,0.0027619356751813484,0.0021964178046829375,0.004049352795036043,0.0027619356751813484,0.0021964178046829375,0,0.011204481792717087,0.011204481792717087,-0.00012061412927266701,0.0,0.0,-1.2530355800968647,0.0,0.0,WEAK
recent_48h,volume_plus_tvl,exit,1h,pool_window,384,17,0,-0.40842082211722575,-0.7880556211205895,-1.801486357708448,-0.40842082211722575,-0.7880556211205895,-1.801486357708448,0,0.026041666666666668,0.026041666666666668,0.0,0.0,0.0,-1.2866852303960443,0.3540487456102852,1.0,WEAK
recent_48h,volume_plus_tvl,exit,2h,intent_window,357,37,0,0.008950015282351842,0.005539984358549077,0.00416996692430871,0.008580133892351682,0.00416996692430871,0.004013151514209312,0,0.01680672268907563,0.01680672268907563,-0.0003698813900001596,-0.001370017434240367,-0.00015681541009939827,-1.2441949449700003,0.0,0.0,WEAK
recent_48h,volume_plus_tvl,exit,2h,pool_window,384,37,0,-0.6786761254600302,-0.9440569379566691,-1.7672828269845282,-0.6906223338734889,-0.889117462937077,-1.7672828269845282,0,0.0390625,0.0390625,-0.011946208413458725,0.054939475019592066,0.0,-1.2635838706552152,0.3019622200598469,1.0,WEAK
recent_48h,volume_plus_tvl,exit,30m,intent_window,357,6,0,0.002393530659020371,0.0014385390418141242,0.0012861906567849246,0.002393530659020371,0.0014385390418141242,0.0012861906567849246,0,0.0056022408963585435,0.0056022408963585435,0.0,0.0,0.0,-1.2574558976602968,0.0,0.0,WEAK
recent_48h,volume_plus_tvl,exit,30m,pool_window,384,8,0,-0.08533931332381811,-0.5565147054119176,-1.402549826640024,-0.08533931332381811,-0.5565147054119176,-1.402549826640024,0,0.005208333333333333,0.005208333333333333,0.0,0.0,0.0,-1.2920644708045046,0.3906656394134955,1.0,WEAK
recent_72h,volume_plus_tvl,exit,15m,intent_window,381,0,0,-0.011791022684917607,-0.013167260547717776,-0.01682085353914431,-0.011791022684917607,-0.013167260547717776,-0.01682085353914431,0,0.0,0.0,0.0,0.0,0.0,-1.4432902480391578,0.1423983269160658,,WEAK
recent_72h,volume_plus_tvl,exit,15m,pool_window,384,0,0,-0.05763642029926805,-0.513709483485225,-11.190912919935645,-0.05763642029926805,-0.513709483485225,-11.190912919935645,0,0.0,0.0,0.0,0.0,0.0,-1.581278495515889,0.8104830159414383,,WEAK
recent_72h,volume_plus_tvl,exit,1h,intent_window,381,0,0,-0.01127048055815294,-0.01224324932456966,-0.015595249104791264,-0.01127048055815294,-0.01224324932456966,-0.015595249104791264,0,0.0,0.0,0.0,0.0,0.0,-1.6768347584163381,0.10430176441241201,,WEAK
recent_72h,volume_plus_tvl,exit,1h,pool_window,384,0,0,-0.29511448749555924,-2.4456448737907954,-11.17723729385538,-0.29511448749555924,-2.4456448737907954,-11.17723729385538,0,0.0,0.0,0.0,0.0,0.0,-1.5421152731355177,0.7913970324746247,,WEAK
recent_72h,volume_plus_tvl,exit,2h,intent_window,381,0,0,-0.010643634614012853,-0.012293267905491234,-0.015595249104791264,-0.010643634614012853,-0.012293267905491234,-0.015595249104791264,0,0.0,0.0,0.0,0.0,0.0,-1.6397528519241016,0.08878867251776512,,WEAK
recent_72h,volume_plus_tvl,exit,2h,pool_window,384,0,0,-0.506520668752117,-2.779001423318402,-11.439118638933422,-0.506520668752117,-2.779001423318402,-11.439118638933422,0,0.0,0.0,0.0,0.0,0.0,-1.4781837221660605,0.7785611626496723,,WEAK
recent_72h,volume_plus_tvl,exit,30m,intent_window,381,0,0,-0.011215457792388861,-0.011791022684917607,-0.013167260547717776,-0.011215457792388861,-0.011791022684917607,-0.013167260547717776,0,0.0,0.0,0.0,0.0,0.0,-1.56186624250534,0.12084359842380366,,WEAK
recent_72h,volume_plus_tvl,exit,30m,pool_window,384,0,0,-0.19400430373186153,-1.2985536605178825,-11.196171517226217,-0.19400430373186153,-1.2985536605178825,-11.196171517226217,0,0.0,0.0,0.0,0.0,0.0,-1.5653620652819145,0.840949818736215,,WEAK
recent_168h,volume_plus_tvl,exit,15m,intent_window,1352,0,0,-0.017650107782074542,-0.027453406510744568,-2.5543076901201403,-0.017650107782074542,-0.027453406510744568,-2.5543076901201403,0,0.0,0.0,0.0,0.0,0.0,-1.4432902480391578,0.5798521056623572,,WEAK
recent_168h,volume_plus_tvl,exit,15m,pool_window,1822,8,0,-0.01676422797585305,-0.4550626817902124,-2.4641239501903813,-0.01676422797585305,-0.4550626817902124,-2.4641239501903813,0,0.0021953896816684962,0.0021953896816684962,0.0,0.0,0.0,-1.1136827708812023,0.43859034507599015,0.4621649118114866,WEAK
recent_168h,volume_plus_tvl,exit,1h,intent_window,1352,26,0,-0.01954181599786864,-2.483184231619944,-2.6029376769269135,-0.01954181599786864,-2.483184231619944,-2.6029376769269135,0,0.0022189349112426036,0.0022189349112426036,0.0,0.0,0.0,-1.4355097245650086,0.47980863664127005,0.0,WEAK
recent_168h,volume_plus_tvl,exit,1h,pool_window,1822,46,0,-0.2876195492331995,-1.0842217114837083,-4.3988834810120885,-0.2594746501673419,-1.0698713125199788,-4.3988834810120885,0,0.017014270032930844,0.017014270032930844,0.028144899065857598,0.014350398963729472,0.0,-1.0991915128249308,0.4902593357457174,1.0,PROMISING
recent_168h,volume_plus_tvl,exit,2h,intent_window,1352,50,0,-0.021278177443804225,-1.8863988495105417,-2.545426598351895,-0.021278177443804225,-1.8863988495105417,-2.545426598351895,0,0.0036982248520710057,0.0036982248520710057,0.0,0.0,0.0,-1.425135693266143,0.588409969845416,0.0,WEAK
recent_168h,volume_plus_tvl,exit,2h,pool_window,1822,91,0,-0.6409071859143017,-1.4900581167929974,-4.691999224720435,-0.6237092180165539,-1.3654758346765787,-4.691999224720435,0,0.03512623490669594,0.03512623490669594,0.017197967897747857,0.12458228211641864,0.0,-1.0842525996147059,0.4718320818682853,1.0,PROMISING
recent_168h,volume_plus_tvl,exit,30m,intent_window,1352,9,0,-0.017138191714124673,-2.506342325245683,-2.5543076901201403,-0.017138191714124673,-2.506342325245683,-2.5543076901201403,0,0.0007396449704142012,0.0007396449704142012,0.0,0.0,0.0,-1.4406967402144413,0.5099952165346453,0.0,WEAK
recent_168h,volume_plus_tvl,exit,30m,pool_window,1822,23,0,-0.11125046939591521,-0.8025356561110383,-2.8146239772407973,-0.10790882737384182,-0.8000885374580311,-2.8146239772407973,0,0.00823271130625686,0.00823271130625686,0.0033416420220733906,0.0024471186530071742,0.0,-1.1070311802033173,0.4405862354213744,1.0,PROMISING
recent_24h,all_high_severity_only,hybrid,15m,intent_window,388,0,0,0.0005499732427693971,0.0002556736978220897,0.0002556736978220897,0.0005499732427693971,0.0002556736978220897,0.0002556736978220897,0,0.0,0.0,0.0,0.0,0.0,-3.3127819068978934,0.0,,WEAK
recent_24h,all_high_severity_only,hybrid,15m,pool_window,388,0,0,-0.00286126082657879,-0.0216923091204912,-0.6008644090200929,-0.00286126082657879,-0.0216923091204912,-0.6008644090200929,0,0.0,0.0,0.0,0.0,0.0,-1.1654259748873632,0.5389629270982875,,WEAK
recent_24h,all_high_severity_only,hybrid,1h,intent_window,388,0,0,0.0017784702051955037,0.0011032970631674743,0.0011032970631674743,0.0017784702051955037,0.0011032970631674743,0.0011032970631674743,0,0.0,0.0,0.0,0.0,0.0,-3.2399483754243183,0.0,,WEAK
recent_24h,all_high_severity_only,hybrid,1h,pool_window,388,0,0,-0.04153192652399556,-0.48099291702747166,-2.656471289685926,-0.04153192652399556,-0.48099291702747166,-2.656471289685926,0,0.0,0.0,0.0,0.0,0.0,-1.1348196811089721,0.6136070680554553,,WEAK
recent_24h,all_high_severity_only,hybrid,2h,intent_window,388,0,0,0.004022389305745833,0.003620198788695461,0.003620198788695461,0.004022389305745833,0.003620198788695461,0.003620198788695461,0,0.0,0.0,0.0,0.0,0.0,-3.1428370001262187,0.0,,WEAK
recent_24h,all_high_severity_only,hybrid,2h,pool_window,388,0,0,-0.17323414748712623,-0.5558026124637273,-2.636068429303282,-0.17323414748712623,-0.5558026124637273,-2.636068429303282,0,0.0,0.0,0.0,0.0,0.0,-1.0940286679189506,0.7228647206993037,,WEAK
recent_24h,all_high_severity_only,hybrid,30m,intent_window,388,0,0,0.0007773597600788662,0.0005499732427693971,0.0005499732427693971,0.0007773597600788662,0.0005499732427693971,0.0005499732427693971,0,0.0,0.0,0.0,0.0,0.0,-3.2885040630733684,0.0,,WEAK
recent_24h,all_high_severity_only,hybrid,30m,pool_window,388,0,0,-0.012768857469854449,-0.21244290210941588,-2.6222401117880234,-0.012768857469854449,-0.21244290210941588,-2.6222401117880234,0,0.0,0.0,0.0,0.0,0.0,-1.155231748860106,0.5874087258520624,,WEAK
recent_48h,all_high_severity_only,hybrid,15m,intent_window,357,0,0,0.0014385390418141242,0.0011717908695203505,1.5844201030290606e-05,0.0014385390418141242,0.0011717908695203505,1.5844201030290606e-05,0,0.0,0.0,0.0,0.0,0.0,-1.259666056442013,0.0,,WEAK
recent_48h,all_high_severity_only,hybrid,15m,pool_window,384,0,0,-0.0016006412936204004,-0.3293648126892759,-1.2735473129686488,-0.0016006412936204004,-0.3293648126892759,-1.2735473129686488,0,0.0026041666666666665,0.0026041666666666665,0.0,0.0,0.0,-1.2955630918482204,0.47957447688530086,0.0,WEAK
recent_48h,all_high_severity_only,hybrid,1h,intent_window,357,0,0,0.00416996692430871,0.0027619356751813484,0.0021964178046829375,0.0,0.0,0.0,0,0.011204481792717087,0.011204481792717087,-0.00416996692430871,-0.0027619356751813484,-0.0021964178046829375,-1.2530355800968647,0.0,0.0,WEAK
recent_48h,all_high_severity_only,hybrid,1h,pool_window,384,0,6,-0.40842082211722575,-0.7880556211205895,-1.801486357708448,-0.27980738705815617,-0.7880556211205895,-1.801486357708448,1,0.028645833333333332,0.028645833333333332,0.12861343505906958,0.0,0.0,-1.2866852303960443,0.3540487456102852,1.0,WEAK
recent_48h,all_high_severity_only,hybrid,2h,intent_window,357,0,0,0.008950015282351842,0.005539984358549077,0.00416996692430871,0.0,0.0,0.0,0,0.01680672268907563,0.01680672268907563,-0.008950015282351842,-0.005539984358549077,-0.00416996692430871,-1.2441949449700003,0.0,0.0,WEAK
recent_48h,all_high_severity_only,hybrid,2h,pool_window,384,0,17,-0.6786761254600302,-0.9440569379566691,-1.7672828269845282,-0.5506940611528042,-0.889117462937077,-1.7672828269845282,1,0.052083333333333336,0.052083333333333336,0.12798206430722603,0.054939475019592066,0.0,-1.2635838706552152,0.3019622200598469,1.0,PROMISING
recent_48h,all_high_severity_only,hybrid,30m,intent_window,357,0,0,0.002393530659020371,0.0014385390418141242,0.0012861906567849246,0.0,0.0,0.0,0,0.0056022408963585435,0.0056022408963585435,-0.002393530659020371,-0.0014385390418141242,-0.0012861906567849246,-1.2574558976602968,0.0,0.0,WEAK
recent_48h,all_high_severity_only,hybrid,30m,pool_window,384,0,3,-0.08533931332381811,-0.5565147054119176,-1.402549826640024,-0.05176834570227952,-0.5103715294385126,-1.402549826640024,1,0.013020833333333334,0.013020833333333334,0.03357096762153859,0.046143175973405004,0.0,-1.2920644708045046,0.3906656394134955,1.0,PROMISING
recent_72h,all_high_severity_only,hybrid,15m,intent_window,381,0,0,-0.011791022684917607,-0.013167260547717776,-0.01682085353914431,-0.011791022684917607,-0.013167260547717776,-0.01682085353914431,0,0.0,0.0,0.0,0.0,0.0,-1.4432902480391578,0.1423983269160658,,WEAK
recent_72h,all_high_severity_only,hybrid,15m,pool_window,384,0,0,-0.05763642029926805,-0.513709483485225,-11.190912919935645,-0.05763642029926805,-0.513709483485225,-11.190912919935645,0,0.0,0.0,0.0,0.0,0.0,-1.581278495515889,0.8104830159414383,,WEAK
recent_72h,all_high_severity_only,hybrid,1h,intent_window,381,0,0,-0.01127048055815294,-0.01224324932456966,-0.015595249104791264,-0.01127048055815294,-0.01224324932456966,-0.015595249104791264,0,0.0,0.0,0.0,0.0,0.0,-1.6768347584163381,0.10430176441241201,,WEAK
recent_72h,all_high_severity_only,hybrid,1h,pool_window,384,0,0,-0.29511448749555924,-2.4456448737907954,-11.17723729385538,-0.29511448749555924,-2.4456448737907954,-11.17723729385538,0,0.0,0.0,0.0,0.0,0.0,-1.5421152731355177,0.7913970324746247,,WEAK
recent_72h,all_high_severity_only,hybrid,2h,intent_window,381,0,0,-0.010643634614012853,-0.012293267905491234,-0.015595249104791264,-0.010643634614012853,-0.012293267905491234,-0.015595249104791264,0,0.0,0.0,0.0,0.0,0.0,-1.6397528519241016,0.08878867251776512,,WEAK
recent_72h,all_high_severity_only,hybrid,2h,pool_window,384,0,0,-0.506520668752117,-2.779001423318402,-11.439118638933422,-0.506520668752117,-2.779001423318402,-11.439118638933422,0,0.0,0.0,0.0,0.0,0.0,-1.4781837221660605,0.7785611626496723,,WEAK
recent_72h,all_high_severity_only,hybrid,30m,intent_window,381,0,0,-0.011215457792388861,-0.011791022684917607,-0.013167260547717776,-0.011215457792388861,-0.011791022684917607,-0.013167260547717776,0,0.0,0.0,0.0,0.0,0.0,-1.56186624250534,0.12084359842380366,,WEAK
recent_72h,all_high_severity_only,hybrid,30m,pool_window,384,0,0,-0.19400430373186153,-1.2985536605178825,-11.196171517226217,-0.19400430373186153,-1.2985536605178825,-11.196171517226217,0,0.0,0.0,0.0,0.0,0.0,-1.5653620652819145,0.840949818736215,,WEAK
recent_168h,all_high_severity_only,hybrid,15m,intent_window,1352,0,0,-0.017650107782074542,-0.027453406510744568,-2.5543076901201403,-0.017650107782074542,-0.027453406510744568,-2.5543076901201403,0,0.0,0.0,0.0,0.0,0.0,-1.4432902480391578,0.5798521056623572,,WEAK
recent_168h,all_high_severity_only,hybrid,15m,pool_window,1822,0,1,-0.01676422797585305,-0.4550626817902124,-2.4641239501903813,-0.01591348329244936,-0.4350862761699076,-2.4641239501903813,1,0.0038419319429198683,0.0038419319429198683,0.0008507446834036918,0.019976405620304838,0.0,-1.1136827708812023,0.43859034507599015,0.4621649118114866,PROMISING
recent_168h,all_high_severity_only,hybrid,1h,intent_window,1352,0,0,-0.01954181599786864,-2.483184231619944,-2.6029376769269135,-0.016924062840033116,-1.8863988495105417,-2.6029376769269135,0,0.0022189349112426036,0.0022189349112426036,0.002617753157835523,0.5967853821094025,0.0,-1.4355097245650086,0.47980863664127005,0.0,PROMISING
recent_168h,all_high_severity_only,hybrid,1h,pool_window,1822,0,11,-0.2876195492331995,-1.0842217114837083,-4.3988834810120885,-0.2528169313014823,-1.0537039826012442,-4.3988834810120885,1,0.019209659714599342,0.019209659714599342,0.034802617931717184,0.030517728882464068,0.0,-1.0991915128249308,0.4902593357457174,1.0,PROMISING
recent_168h,all_high_severity_only,hybrid,2h,intent_window,1352,0,0,-0.021278177443804225,-1.8863988495105417,-2.545426598351895,-0.018626734667194,-1.8863988495105417,-2.545426598351895,0,0.0036982248520710057,0.0036982248520710057,0.0026514427766102244,0.0,0.0,-1.425135693266143,0.588409969845416,0.0,WEAK
recent_168h,all_high_severity_only,hybrid,2h,pool_window,1822,0,19,-0.6409071859143017,-1.4900581167929974,-4.691999224720435,-0.5975834918287573,-1.2517739871174853,-4.691999224720435,1,0.03951701427003293,0.03951701427003293,0.043323694085544484,0.23828412967551205,0.0,-1.0842525996147059,0.4718320818682853,1.0,PROMISING
recent_168h,all_high_severity_only,hybrid,30m,intent_window,1352,0,0,-0.017138191714124673,-2.506342325245683,-2.5543076901201403,-0.01682085353914431,-0.025203394062899065,-2.5543076901201403,0,0.0007396449704142012,0.0007396449704142012,0.0003173381749803639,2.481138931182784,0.0,-1.4406967402144413,0.5099952165346453,0.0,PROMISING
recent_168h,all_high_severity_only,hybrid,30m,pool_window,1822,0,4,-0.11125046939591521,-0.8025356561110383,-2.8146239772407973,-0.09920277830471375,-0.8000885374580311,-2.8146239772407973,1,0.010428100987925357,0.010428100987925357,0.012047691091201462,0.0024471186530071742,0.0,-1.1070311802033173,0.4405862354213744,1.0,PROMISING
recent_24h,all_medium_or_high,hybrid,15m,intent_window,388,0,0,0.0005499732427693971,0.0002556736978220897,0.0002556736978220897,0.0005499732427693971,0.0002556736978220897,0.0002556736978220897,0,0.0,0.0,0.0,0.0,0.0,-3.3127819068978934,0.0,,WEAK
recent_24h,all_medium_or_high,hybrid,15m,pool_window,388,0,0,-0.00286126082657879,-0.0216923091204912,-0.6008644090200929,-0.00286126082657879,-0.0216923091204912,-0.6008644090200929,0,0.0,0.0,0.0,0.0,0.0,-1.1654259748873632,0.5389629270982875,,WEAK
recent_24h,all_medium_or_high,hybrid,1h,intent_window,388,0,0,0.0017784702051955037,0.0011032970631674743,0.0011032970631674743,0.0017784702051955037,0.0011032970631674743,0.0011032970631674743,0,0.0,0.0,0.0,0.0,0.0,-3.2399483754243183,0.0,,WEAK
recent_24h,all_medium_or_high,hybrid,1h,pool_window,388,0,0,-0.04153192652399556,-0.48099291702747166,-2.656471289685926,-0.04153192652399556,-0.48099291702747166,-2.656471289685926,0,0.0,0.0,0.0,0.0,0.0,-1.1348196811089721,0.6136070680554553,,WEAK
recent_24h,all_medium_or_high,hybrid,2h,intent_window,388,0,0,0.004022389305745833,0.003620198788695461,0.003620198788695461,0.004022389305745833,0.003620198788695461,0.003620198788695461,0,0.0,0.0,0.0,0.0,0.0,-3.1428370001262187,0.0,,WEAK
