variant_name,window,horizon,proof_unit_type,sample_count,retained_sample_count,baseline_p10,baseline_p5,baseline_p1,filtered_p10,filtered_p5,filtered_p1,tail_improvement_p10,tail_improvement_p5,tail_improvement_p1,opportunity_retention_rate,false_quarantine_rate,missed_profit_rate,worst_pool_contribution,data_quality_status,leakage_risk,verdict
entry_safe_hybrid_regime_plus_signal,recent_48h,1h,pool_window,384,0,-0.455456431600104,-0.775860418786754,-1.45340688818238,,,,,,,0.0,0.8046875,0.17250190786023087,,sufficient,LOW,INSUFFICIENT
entry_safe_hybrid_regime_plus_signal,recent_48h,2h,pool_window,384,0,-0.648375501525092,-0.864863363897764,-1.75913868220465,,,,,,,0.0,0.7682291666666666,0.25228555431950744,,sufficient,LOW,INSUFFICIENT
entry_safe_hybrid_regime_plus_signal,recent_48h,30m,pool_window,384,0,-0.0303095834844918,-0.510371529438513,-1.37850382247383,,,,,,,0.0,0.8776041666666666,0.09719653288712123,,sufficient,LOW,INSUFFICIENT
entry_safe_hybrid_regime_plus_signal,recent_72h,15m,pool_window,384,0,-0.0741633423119927,-0.571951942896834,-11.1884097801967,,,,,,,0.0,0.7630208333333334,0.4812263200221809,,sufficient,LOW,INSUFFICIENT
entry_safe_hybrid_regime_plus_signal,recent_72h,1h,pool_window,384,0,-0.363471025573926,-2.44506947025506,-11.1500794635119,,,,,,,0.0,0.6979166666666666,0.485701490094858,,sufficient,LOW,INSUFFICIENT
entry_safe_hybrid_regime_plus_signal,recent_72h,2h,pool_window,384,0,-0.56387364762486,-2.7790014233184,-11.2625424398271,,,,,,,0.0,0.6822916666666666,0.6859242089597185,,sufficient,LOW,INSUFFICIENT
entry_safe_hybrid_regime_plus_signal,recent_72h,30m,pool_window,384,0,-0.234403010534651,-1.29898534176133,-11.1804485622206,,,,,,,0.0,0.7109375,0.5305943253731271,,sufficient,LOW,INSUFFICIENT
entry_safe_hybrid_regime_plus_signal,recent_7d,15m,pool_window,1879,227,-0.0137486321401991,-0.418175796712167,-2.52085854620216,-0.000771206550517853,-0.00740425862316619,-0.0138401494824682,0.012977425589681247,0.4107715380890008,2.5070183967196917,0.11096774193548387,0.7333688131985099,0.11787792980022724,1.0,sufficient,LOW,PROMISING
entry_safe_hybrid_regime_plus_signal,recent_7d,1h,pool_window,1876,224,-0.259474650167342,-1.06987131251998,-4.39641981784718,-0.00739195174833574,-0.0133540171341147,-0.0195926469283791,0.25208269841900627,1.0565172953858653,4.376827170918801,0.10048176187198898,0.6966950959488273,0.23060074669019007,1.0,sufficient,LOW,PROMISING
entry_safe_hybrid_regime_plus_signal,recent_7d,2h,pool_window,1869,220,-0.621378335494478,-1.35644062858408,-4.69199922472044,-0.00744545504417496,-0.0142923724133022,-0.0203627287998226,0.613932880450303,1.3421482561707778,4.671636495920617,0.0962800875273523,0.6629213483146067,0.3204584098371212,1.0,sufficient,LOW,PROMISING
entry_safe_hybrid_regime_plus_signal,recent_7d,30m,pool_window,1878,226,-0.0844844483880736,-0.721593014627863,-3.25955911588557,-0.00398465147145697,-0.00906632822293914,-0.0147079794930255,0.08049979691661663,0.7125266864049238,3.2448511363925445,0.10817941952506596,0.7199148029818956,0.15533293971552556,1.0,sufficient,LOW,PROMISING
entry_safe_hybrid_regime_plus_signal_plus_fee,recent_24h,15m,pool_window,320,0,-0.00347561294220802,-0.0192076183236021,-0.600864409020093,,,,,,,0.0,0.85625,0.028753962913888233,,sufficient,LOW,INSUFFICIENT
